date,time,week,location
2020-08-03,08:00:00,32,1
2020-08-03,08:30:00,32,1
2020-08-03,09:00:00,32,1
2020-08-03,09:30:00,32,1
2020-08-03,10:00:00,32,1
2020-08-03,10:30:00,32,1
2020-08-03,11:00:00,32,1
2020-08-03,11:30:00,32,1
2020-08-03,12:00:00,32,1
2020-08-03,12:30:00,32,1
2020-08-03,13:00:00,32,1
2020-08-03,13:30:00,32,1
2020-08-03,14:00:00,32,1
2020-08-03,14:30:00,32,1
2020-08-03,15:00:00,32,1
2020-08-03,15:30:00,32,1
2020-08-03,16:00:00,32,1
2020-08-03,16:30:00,32,1
2020-08-03,17:00:00,32,1
2020-08-03,17:30:00,32,1
2020-08-03,18:00:00,32,1
2020-08-04,08:00:00,32,1
2020-08-04,08:30:00,32,1
2020-08-04,09:00:00,32,1
2020-08-04,09:30:00,32,1
2020-08-04,10:00:00,32,1
2020-08-04,10:30:00,32,1
2020-08-04,11:00:00,32,1
2020-08-04,11:30:00,32,1
2020-08-04,12:00:00,32,1
2020-08-04,12:30:00,32,1
2020-08-04,13:00:00,32,1
2020-08-04,13:30:00,32,1
2020-08-04,14:00:00,32,1
2020-08-04,14:30:00,32,1
2020-08-04,15:00:00,32,1
2020-08-04,15:30:00,32,1
2020-08-04,16:00:00,32,1
2020-08-04,16:30:00,32,1
2020-08-04,17:00:00,32,1
2020-08-04,17:30:00,32,1
2020-08-04,18:00:00,32,1
2020-08-05,08:00:00,32,1
2020-08-05,08:30:00,32,1
2020-08-05,09:00:00,32,1
2020-08-05,09:30:00,32,1
2020-08-05,10:00:00,32,1
2020-08-05,10:30:00,32,1
2020-08-05,11:00:00,32,1
2020-08-05,11:30:00,32,1
2020-08-05,12:00:00,32,1
2020-08-05,12:30:00,32,1
2020-08-05,13:00:00,32,1
2020-08-05,13:30:00,32,1
2020-08-05,14:00:00,32,1
2020-08-05,14:30:00,32,1
2020-08-05,15:00:00,32,1
2020-08-05,15:30:00,32,1
2020-08-05,16:00:00,32,1
2020-08-05,16:30:00,32,1
2020-08-05,17:00:00,32,1
2020-08-05,17:30:00,32,1
2020-08-05,18:00:00,32,1
2020-08-06,08:00:00,32,1
2020-08-06,08:30:00,32,1
2020-08-06,09:00:00,32,1
2020-08-06,09:30:00,32,1
2020-08-06,10:00:00,32,1
2020-08-06,10:30:00,32,1
2020-08-06,11:00:00,32,1
2020-08-06,11:30:00,32,1
2020-08-06,12:00:00,32,1
2020-08-06,12:30:00,32,1
2020-08-06,13:00:00,32,1
2020-08-06,13:30:00,32,1
2020-08-06,14:00:00,32,1
2020-08-06,14:30:00,32,1
2020-08-06,15:00:00,32,1
2020-08-06,15:30:00,32,1
2020-08-06,16:00:00,32,1
2020-08-06,16:30:00,32,1
2020-08-06,17:00:00,32,1
2020-08-06,17:30:00,32,1
2020-08-06,18:00:00,32,1
2020-08-07,08:00:00,32,1
2020-08-07,08:30:00,32,1
2020-08-07,09:00:00,32,1
2020-08-07,09:30:00,32,1
2020-08-07,10:00:00,32,1
2020-08-07,10:30:00,32,1
2020-08-07,11:00:00,32,1
2020-08-07,11:30:00,32,1
2020-08-07,12:00:00,32,1
2020-08-07,12:30:00,32,1
2020-08-07,13:00:00,32,1
2020-08-07,13:30:00,32,1
2020-08-07,14:00:00,32,1
2020-08-07,14:30:00,32,1
2020-08-07,15:00:00,32,1
2020-08-07,15:30:00,32,1
2020-08-07,16:00:00,32,1
2020-08-07,16:30:00,32,1
2020-08-07,17:00:00,32,1
2020-08-07,17:30:00,32,1
2020-08-07,18:00:00,32,1
2020-08-08,08:00:00,32,1
2020-08-08,08:30:00,32,1
2020-08-08,09:00:00,32,1
2020-08-08,09:30:00,32,1
2020-08-08,10:00:00,32,1
2020-08-08,10:30:00,32,1
2020-08-08,11:00:00,32,1
2020-08-08,11:30:00,32,1
2020-08-08,12:00:00,32,1
2020-08-08,12:30:00,32,1
2020-08-08,13:00:00,32,1
2020-08-08,13:30:00,32,1
2020-08-08,14:00:00,32,1
2020-08-08,14:30:00,32,1
2020-08-08,15:00:00,32,1
2020-08-08,15:30:00,32,1
2020-08-08,16:00:00,32,1
2020-08-08,16:30:00,32,1
2020-08-08,17:00:00,32,1
2020-08-08,17:30:00,32,1
2020-08-08,18:00:00,32,1
2020-08-11,08:00:00,33,1
2020-08-11,08:30:00,33,1
2020-08-11,09:00:00,33,1
2020-08-11,09:30:00,33,1
2020-08-11,10:00:00,33,1
2020-08-11,10:30:00,33,1
2020-08-11,11:00:00,33,1
2020-08-11,11:30:00,33,1
2020-08-11,12:00:00,33,1
2020-08-11,12:30:00,33,1
2020-08-11,13:00:00,33,1
2020-08-11,13:30:00,33,1
2020-08-11,14:00:00,33,1
2020-08-11,14:30:00,33,1
2020-08-11,15:00:00,33,1
2020-08-11,15:30:00,33,1
2020-08-11,16:00:00,33,1
2020-08-11,16:30:00,33,1
2020-08-11,17:00:00,33,1
2020-08-11,17:30:00,33,1
2020-08-11,18:00:00,33,1
2020-08-12,08:00:00,33,1
2020-08-12,08:30:00,33,1
2020-08-12,09:00:00,33,1
2020-08-12,09:30:00,33,1
2020-08-12,10:00:00,33,1
2020-08-12,10:30:00,33,1
2020-08-12,11:00:00,33,1
2020-08-12,11:30:00,33,1
2020-08-12,12:00:00,33,1
2020-08-12,12:30:00,33,1
2020-08-12,13:00:00,33,1
2020-08-12,13:30:00,33,1
2020-08-12,14:00:00,33,1
2020-08-12,14:30:00,33,1
2020-08-12,15:00:00,33,1
2020-08-12,15:30:00,33,1
2020-08-12,16:00:00,33,1
2020-08-12,16:30:00,33,1
2020-08-12,17:00:00,33,1
2020-08-12,17:30:00,33,1
2020-08-12,18:00:00,33,1
2020-08-13,08:00:00,33,1
2020-08-13,08:30:00,33,1
2020-08-13,09:00:00,33,1
2020-08-13,09:30:00,33,1
2020-08-13,10:00:00,33,1
2020-08-13,10:30:00,33,1
2020-08-13,11:00:00,33,1
2020-08-13,11:30:00,33,1
2020-08-13,12:00:00,33,1
2020-08-13,12:30:00,33,1
2020-08-13,13:00:00,33,1
2020-08-13,13:30:00,33,1
2020-08-13,14:00:00,33,1
2020-08-13,14:30:00,33,1
2020-08-13,15:00:00,33,1
2020-08-13,15:30:00,33,1
2020-08-13,16:00:00,33,1
2020-08-13,16:30:00,33,1
2020-08-13,17:00:00,33,1
2020-08-13,17:30:00,33,1
2020-08-13,18:00:00,33,1
2020-08-14,08:00:00,33,1
2020-08-14,08:30:00,33,1
2020-08-14,09:00:00,33,1
2020-08-14,09:30:00,33,1
2020-08-14,10:00:00,33,1
2020-08-14,10:30:00,33,1
2020-08-14,11:00:00,33,1
